line_no,tag_no,comp_type,description,size,size_2,material,schedule,pressure_class,quantity,unit,end_connection,remarks
6"-PW-1001-A1A,PIPE-1001-01,PIPE,Seamless Pipe,6,,CS,SCH 40,150#,12.5,M,BW,ASME B36.10
6"-PW-1001-A1A,EL90-1001-01,FITTING,90 Deg LR Elbow,6,,CS,SCH 40,150#,3,EA,BW,ASME B16.9
6"-PW-1001-A1A,RED-1001-01,FITTING,Concentric Reducer,6,4,CS,SCH 40,150#,1,EA,BW,ASME B16.9
6"-PW-1001-A1A,GAT-1001-01,VALVE,Gate Valve,6,,CS,SCH 40,150#,2,EA,FF,ASME B16.34
6"-PW-1001-A1A,FLG-1001-01,FLANGE,Weld Neck Flange,6,,CS,SCH 40,150#,4,EA,FF,ASME B16.5 RF
4"-SH-2001-B3B,PIPE-2001-01,PIPE,Seamless Pipe ASTM A335 P11,4,,CS,SCH 80,600#,8.0,M,BW,ASME B36.10
4"-SH-2001-B3B,EL90-2001-01,FITTING,90 Deg LR Elbow ASTM A234 WP11,4,,CS,SCH 80,600#,4,EA,BW,ASME B16.9
4"-SH-2001-B3B,GLOB-2001-01,VALVE,Globe Valve (Hand-wheel),4,,CS,SCH 80,600#,1,EA,BW,ASME B16.34 Cls 600
4"-SH-2001-B3B,FLG-2001-01,FLANGE,Weld Neck Flange ASTM A182 F11,4,,CS,SCH 80,600#,6,EA,BW,ASME B16.5 RTJ
1"-CD-3001-C1C,PIPE-3001-01,PIPE,Seamless Pipe ASTM A312 TP316L,1,,SS316,SCH 40,150#,5.5,M,BW,ASME B36.19M
1"-CD-3001-C1C,EL90-3001-01,FITTING,90 Deg SR Elbow SS316L,1,,SS316,SCH 40,150#,5,EA,SW,ASME B16.11
1"-CD-3001-C1C,BALL-3001-01,VALVE,Ball Valve SS316 Full Bore,1,,SS316,SCH 40,150#,3,EA,SW,BS EN ISO 17292
